PRODUCT_INTEREST,PRODUCT
Grid,Conga Grid
Digital Commerce,Conga Digital Commerce
Professional Services,Support
Revenue Management for Life Sciences,Conga Billing
Adobe eSign,Conga Sign
Incentives,Conga Order Management
X-Author,Conga X-Author Enterprise
Sandbox and Storage,Other
X-Author Enterprise,Conga X-Author Enterprise
DocGen,Conga Composer
Training,Support
Managed Services,Support
QTC,Conga CPQ
E-Sign,Conga Sign
Conga Sign,Conga Sign
Data and Process Automation,Conga Grid
Document Generation,Conga Composer
Courier,Conga Courier
Orchestrate,Conga Orchestrate
Enterprise CPQ,Conga CPQ
Bundle,Other
AI,Conga Order Management
Collaborate,Conga Collaborate
CLM,Conga CLM
XA for Excel,Conga X-Author Enterprise
Revenue Management,Conga Billing
IWA,Conga Order Management
One-time Discount,Other
Contracts,Conga Contracts
Product Bundles,Other
Sign,Conga Sign
CPQ,Conga CPQ
Enterprise Contract Management,Conga CLM
Quote-to-Cash for Subscription Economy,Conga CPQ
MAX AI/ML,Conga Order Management
Maintenance,Support
Max,Conga Order Management
SRM,Other
Services or Support,Support
Services,Support
Composer,Conga Composer
Other,Other
Support,Support
Non-Core Sales Play,Other
Incentive Management,Conga Order Management
TBC,Other
Contracts for SF,Conga CLM
Automation,Conga Orchestrate
AMS,Support
Intelligence,Conga Order Management
Salesforce Pass-Throughs,Other
Revenue Mgmt,Conga Billing
